model,rmse,rsq,mae
Random Forest,31249340027.013645,0.7296339449080923,22073943574.487278
Simple Linear,6272378553.334199,0.9895954049265466,4554543320.30225
Nested Linear,6208319190.0452385,0.9894390254627119,4488942285.003483
