city_name,ref_year,metabolite_name,daily_mean_concentration,nuts_code,gdp
Dresden,2019,amphetamine,35.44,DE142,8200470000.0
Dresden,2023,cocaine,85.33,DE142,9995460000.0
Copenhagen,2013,cocaine,218.55,DK011,46666520000.0
Bratislava C,2023,ketamine,3.71,SK010,34184650000.0
Bucharest,2023,amphetamine,3.73,RO321,84230360000.0
Zurich,2020,cocaine,874.36,CH040,141627850000.0
Tallinn,2023,cocaine,282.82,EE001,24099040000.0
Frankfurt (3),2017,methamphetamine,8.49,DE712,72875810000.0
Maribor,2021,MDMA,6.86,SI032,6612680000.0
Prague (2),2020,cannabis,90.35,CZ010,58671750000.0
Kajaani,2024,cocaine,17.55,FI1D8,2742530000.0
Zurich,2013,amphetamine,42.65,CH040,116882860000.0
Dortmund,2015,amphetamine,163.4,DEA52,21303210000.0
Dortmund,2021,cocaine,476.76,DEA52,26023320000.0
Barcelona,2023,ketamine,52.18,ES511,209563800000.0
Amsterdam,2019,amphetamine,164.43,NL321,11938640000.0
Region Millstättersee,2019,cannabis,31.5,AT212,3629030000.0
Region Millstättersee,2021,cannabis,24.25,AT212,3685400000.0
Erfurt,2019,MDMA,10.61,DEG01,9074810000.0
Mainz,2017,methamphetamine,2.03,DEB35,11912270000.0
Santiago,2012,MDMA,5.05,ES114,17667200000.0
Mainz,2017,cocaine,128.46,DEB35,11912270000.0
Amsterdam,2018,cannabis,264.22,NL321,11376770000.0
Velenje,2021,cocaine,220.45,SI034,5616580000.0
Eindhoven,2023,cannabis,147.64,NL414,58734250000.0
Munich G,2020,cocaine,191.33,DE212,122791920000.0
Basel,2019,amphetamine,35.16,CH033,40820360000.0
Region Millstättersee,2023,cannabis,49.5,AT212,5003770000.0
Berne,2015,amphetamine,26.15,CH021,74884800000.0
Dresden,2014,methamphetamine,133.02,DE142,6801940000.0
Piestany,2019,cannabis,27.68,SK021,10982990000.0
Santiago,2011,cocaine,211.22,ES114,18292900000.0
