,Year,Metabolite,Site ID,Country_x,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean,nuts_code,GEO (Codes),GEO (Labels),GDP (M EUR),Country_y
34,2024,MDMA,SE005,SE,Stockholm (2),10.49,11.29,10.67,30.9,50.23,33.48,16.4,12.73,31.32,23.35,SE110,SE110,Stockholms län,179239.89,SE
35,2024,MDMA,SI002,SI,Koper,15.17,20.93,11.84,16.53,27.52,18.61,22.18,19.43,18.63,18.97,SI044,SI044,Obalno-kraška,3453.46,SI
36,2024,MDMA,SI003,SI,Kranj,7.73,11.62,7.47,27.7,0.19,12.96,12.26,10.54,12.08,11.42,SI042,SI042,Gorenjska,5559.74,SI
37,2024,MDMA,SI004,SI,Ljubljana,14.51,12.46,23.34,65.17,56.9,30.61,22.5,16.49,44.0,32.21,SI041,SI041,Osrednjeslovenska,26920.69,SI
38,2024,MDMA,SI005,SI,Maribor,9.7,8.44,5.97,50.13,30.08,15.27,5.26,7.8,25.36,17.84,SI032,SI032,Podravska,8635.78,SI
39,2024,MDMA,SI007,SI,Novo mesto,0.18,0.21,0.2,0.18,6.71,0.21,0.18,0.19,1.83,1.13,SI037,SI037,Jugovzhodna Slovenija,4274.12,SI
40,2024,MDMA,SI008,SI,Velenje,0.48,0.44,0.44,5.54,5.8,0.46,0.49,0.47,3.06,1.95,SI034,SI034,Savinjska,7108.66,SI
41,2024,MDMA,SK002,SK,Bratislava C,10.86,9.03,13.03,29.47,32.13,20.93,11.05,10.31,23.89,18.07,SK010,SK010,Bratislavský kraj,36496.5,SK
42,2024,MDMA,SK004,SK,Piestany,7.04,3.68,2.73,3.37,7.71,14.4,21.11,10.61,7.05,8.58,SK021,SK021,Trnavský kraj,14997.09,SK
43,2024,MDMA,TR002,TR,Ankara,14.23,10.03,9.51,10.65,12.69,10.91,12.05,12.1,10.94,11.44,TR510,TR510,Ankara,131357.81,TR
44,2024,MDMA,TR004,TR,Istanbul (II-VII),11.48,9.96,8.98,15.09,21.87,19.58,11.21,10.88,16.38,14.02,TR100,TR100,İstanbul,365742.18,TR
45,2024,amphetamine,BE002,BE,Antwerp Zuid,419.77,377.51,415.2,446.14,279.57,333.75,360.72,386.0,368.66,376.09,BE211,BE211,Arr. Antwerpen,67609.83,BE
46,2024,amphetamine,BE007,BE,Brussels,64.32,87.79,68.87,109.08,83.79,85.19,99.91,84.0,86.73,85.56,BE100,BE100,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,108152.97,BE
47,2024,amphetamine,CY005,CY,Nicosia (2),11.84,5.02,3.93,8.05,3.81,3.15,4.58,7.15,4.73,5.77,CY000,CY000,Kýpros,34770.17,CY
48,2024,amphetamine,CZ001,CZ,Brno,28.09,23.35,17.78,30.59,27.39,34.74,23.66,25.03,27.62,26.51,CZ064,CZ064,Jihomoravský kraj,34861.31,CZ
49,2024,amphetamine,CZ003,CZ,Karlovy Vary,28.22,38.09,33.89,34.07,33.27,36.86,25.51,30.61,34.52,32.85,CZ041,CZ041,Karlovarský kraj,5381.52,CZ
50,2024,amphetamine,CZ004,CZ,Ostrava,52.08,53.96,54.84,56.5,61.43,58.53,58.99,55.01,57.82,56.62,CZ080,CZ080,Moravskoslezský kraj,27398.34,CZ
51,2024,amphetamine,CZ005,CZ,Plzen,56.83,55.59,71.69,59.25,58.61,52.45,47.93,53.45,60.5,57.48,CZ032,CZ032,Plzeňský kraj,15512.85,CZ
52,2024,amphetamine,CZ006,CZ,Prague (2),53.53,56.18,46.24,63.76,49.83,51.85,55.05,54.92,52.92,53.78,CZ010,CZ010,Hlavní město Praha,86596.18,CZ
53,2024,amphetamine,DK001,DK,Aalborg,114.86,117.82,114.61,105.13,103.36,128.37,105.18,112.62,112.87,112.76,DK014,DK014,Bornholm,1684.4,DK
54,2024,amphetamine,DK002,DK,Aarhus,70.61,110.72,37.0,108.97,70.17,71.25,49.99,77.11,71.85,74.1,DK042,DK042,Østjylland,51837.47,DK
55,2024,amphetamine,DK003,DK,Copenhagen,91.4,95.31,98.4,109.82,88.47,93.63,93.44,93.38,97.58,95.78,DK011,DK011,Byen København,76296.4,DK
